record_id,doi,title,year,venue,source_databases,query_ids,openalex_id,crossref_url,identification_status,screen_title_abstract,screen_title_abstract_reason,fulltext_status,screen_fulltext,screen_fulltext_reason,evidence_lanes,A_trait,A_manipulated,pollinator_response_measured,antagonist_response_measured,common_reproductive_outcome,selection_form,cue_architecture,evolutionary_level,causal_strength,claim_ceiling,study_region,country_or_ocean_basin,latitude_reported,longitude_reported,spatial_grain,spatial_extent,single_site_vs_multisite,geographic_contrast,receiver_assemblage_contrast,biogeographic_context,historical_or_phylogenetic_context,notes
SCHPRISMA-000217,10.1007/s00442-009-1424-8,Diversity of floral visitors to sympatric Lithophragma species differing in floral morphology,2009,Oecologia,OPENALEX,Q10,https://openalex.org/W2096286011,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000218,10.1016/j.sajb.2009.07.018,Do floral traits of Strelitzia reginae limit nectar theft by sunbirds?,2009,South African Journal of Botany,OPENALEX,Q13,https://openalex.org/W2012624455,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000219,10.1371/journal.pone.0098755,"Do Flower Color and Floral Scent of Silene Species affect Host Preference of Hadena bicruris, a Seed-Eating Pollinator, under Field Conditions?",2014,PLoS ONE,OPENALEX,Q01;Q03;Q05;Q08;Q09;Q10;Q12,https://openalex.org/W1977583687,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000220,10.1093/aobpla/plab029,Do flowers removed of either nectar or pollen attract fewer bumblebee pollinators? An experimental test in Impatiens oxyanthera,2021,AoB Plants,OPENALEX,Q04,https://openalex.org/W3166897683,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000221,10.4067/s0717-66432011000200007,Do pollinators respond in a dose-dependent manner to flower herbivory?: An experimental assessment in Loasa tricolor (Loasaceae),2011,Gayana. Botánica,OPENALEX,Q01;Q05,https://openalex.org/W2002593568,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000222,10.1007/s00442-025-05706-3,Do savanna trees mast? Phenological dynamics of flowering and fruiting in savanna tree species,2025,Oecologia,OPENALEX,Q08;Q12,https://openalex.org/W4410422693,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000223,10.1007/s11258-025-01559-1,Do the traits of flowers and nectaries in Sapium glandulosum (Euphorbiaceae) shape insect interactions?,2025,Plant Ecology,OPENALEX,Q01;Q08,https://openalex.org/W4413411718,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000224,10.1093/aobpla/ply057,Do we truly understand pollination syndromes in Petunia as much as we suppose?,2018,AoB Plants,OPENALEX,Q01;Q02;Q04;Q05;Q07;Q10;Q11;Q13,https://openalex.org/W2895305682,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000225,10.1007/s11829-019-09723-x,Does florivory affect the attraction of floral visitors to buzz-pollinated Solanum rostratum?,2019,Arthropod-Plant Interactions,OPENALEX,Q02,https://openalex.org/W2980713602,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000226,10.1093/aob/mcaf053,Does flower size follow the ‘island rule’? A commentary on ‘Flower size evolution in the Southwest Pacific’,2025,Annals of Botany,OPENALEX,Q08;Q09,https://openalex.org/W4409994831,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000227,,Does phylogeographic history cause among-population variation in floral scent in Arabis alpina?,2019,,OPENALEX,Q01,https://openalex.org/W2989931181,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000228,10.1371/journal.pone.0025371,Dopamine and Octopamine Influence Avoidance Learning of Honey Bees in a Place Preference Assay,2011,PLoS ONE,OPENALEX,Q10,https://openalex.org/W2023993919,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000229,10.7717/peerj.8822,Draft genome of Rosenbergiella nectarea strain 8N4T provides insights into the potential role of this species in its plant host,2020,PeerJ,OPENALEX,Q13,https://openalex.org/W3014458905,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000230,10.3732/ajb.1300159,Dramatic vestigialization of floral fragrance across a transition from outcrossing to selfing in Abronia umbellata (Nyctaginaceae),2013,American Journal of Botany,OPENALEX,Q05;Q09,https://openalex.org/W2333980045,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000231,10.2307/2657108,"Drought stress, plant water status, and floral trait expression in fireweed, Epilobium angustifolium (Onagraceae)",2001,American Journal of Botany,OPENALEX,Q10,https://openalex.org/W2130740902,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000232,10.1111/nph.14998,Ecological causes and consequences of flower color polymorphism in a self‐pollinating plant ( Boechera stricta ),2018,New Phytologist,OPENALEX,Q06;Q07;Q12,https://openalex.org/W2790063807,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000233,10.1002/ece3.10418,Ecological convergence in phytochemistry and flower–insect visitor interactions along an Andean elevation gradient,2023,Ecology and Evolution,OPENALEX,Q01;Q02;Q03;Q05;Q10;Q12,https://openalex.org/W4386013086,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000234,10.1111/j.1558-5646.1999.tb04525.x,ECOLOGICAL COSTS OF PLANT RESISTANCE TO HERBIVORES IN THE CURRENCY OF POLLINATION,1999,Evolution,OPENALEX,Q08;Q09,https://openalex.org/W2037963925,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000235,10.55362/ijecol/2026/0106,Ecological Roles of Indian Palm Squirrels ( spp.) as Floral Funambulus Visitors Across Five Indian States: First Comprehensive Account,2026,Indian Journal of Ecology,OPENALEX,Q10;Q13,https://openalex.org/W7165002080,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000236,10.1111/nph.13243,Ecology and evolution of floral volatile‐mediated information transfer in plants,2015,New Phytologist,OPENALEX,Q01;Q02;Q05;Q06;Q09;Q11,https://openalex.org/W2159060007,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000237,10.1080/10635150802208798,"Ecology and Evolution of Flowers.—Lawrence D. Harder and Spencer C.H. Barrett (editors). 2007. Oxford University Press, New York. 392 pp. ISBN: 978-0-19-857085-1 (hardback, 2006) $150 $75. ISBN: 978-0-19-857086-8 (paperback) $75 $39.95",2008,Systematic Biology,OPENALEX,Q10,https://openalex.org/W2338958236,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000238,,"Ecology of pollinators, pests and natural enemies in agricultural landscapes",2019,Epsilon Open Archive (Sveriges lantbruksuniversitet biblioteket (Swedish University of Agricultural Sciences)),OPENALEX,Q13,https://openalex.org/W2941737794,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000239,10.1111/een.13322,Ecosystem functions and functional traits for the study of phytophagous scarab beetles (Coleoptera: Scarabaeidae),2024,Ecological Entomology,OPENALEX,Q01,https://openalex.org/W4393268276,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000240,10.1111/j.1600-0706.2012.00172.x,Editorial,2012,Oikos,OPENALEX,Q08,https://openalex.org/W4230880190,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000241,10.3389/fpls.2021.736998,Editorial: The Role of Flower Color in Angiosperm Evolution,2021,Frontiers in Plant Science,OPENALEX,Q06;Q07;Q08,https://openalex.org/W3199934615,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000242,10.14393/ufu.te.2017.43,Efeitos da assimetria floral e das interações formigas-plantas nas interações plantas-visitantes florais,2017,,OPENALEX,Q01;Q06;Q07,https://openalex.org/W2948069586,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000243,,Effect of heather flavonoids on the buff-tailed bumblebee,2022,ORBi UMONS,OPENALEX,Q10,https://openalex.org/W7133392996,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000244,10.1016/j.flora.2016.08.005,Effect of mutualistic and antagonistic bees on floral resources and pollination of a savanna shrub,2016,Flora,OPENALEX,Q13,https://openalex.org/W2510487915,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000245,10.3389/fpls.2019.00327,Effect of Pollen Limitation and Pollinator Visitation on Pollination Success of Haloxylon ammodendron (C. A. Mey.) Bunge in Fragmented Habitats,2019,Frontiers in Plant Science,OPENALEX,Q08,https://openalex.org/W2925278902,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000246,10.55446/ije.2023.945,Effects of Ants on the Fruit Setting of Artabotrys Odoratissimus R. Br.,2023,Indian Journal of Entomology,OPENALEX,Q01;Q05,https://openalex.org/W4380875693,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000247,10.1111/1365-2745.14018,Effects of biotic interactions on plant fecundity depend on spatial and functional structure of communities and time since disturbance,2022,Journal of Ecology,OPENALEX,Q12,https://openalex.org/W4306407789,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000248,10.1890/06-2128.1,"EFFECTS OF CLIMATE CHANGE ON PHENOLOGY, FROST DAMAGE, AND FLORAL ABUNDANCE OF MONTANE WILDFLOWERS",2008,Ecology,OPENALEX,Q12,https://openalex.org/W2164284641,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000249,10.1146/annurev-ento-022024-015159,Effects of Elevated CO2 and O3 on Aboveground Brassicaceous Plant–Insect Interactions,2024,Annual Review of Entomology,OPENALEX,Q05,https://openalex.org/W4403054106,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000250,10.1093/aob/mcad195,"Effects of experimental warming on floral scent, display and rewards in two subalpine herbs",2023,Annals of Botany,OPENALEX,Q01;Q03;Q04;Q05;Q08;Q09;Q10;Q12;Q13,https://openalex.org/W4390140123,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000251,10.3390/plants13040547,Effects of Florivory on Floral Visitors and Reproductive Success of Sagittaria lancifolia (Alismataceae) in a Mexican Wetland,2024,Plants,OPENALEX,Q08;Q09;Q12;Q13,https://openalex.org/W4391959484,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000252,10.3732/ajb.1600144,Effects of florivory on plant‐pollinator interactions: Implications for male and female components of plant reproduction,2016,American Journal of Botany,OPENALEX,Q13,https://openalex.org/W2468754323,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000253,10.1023/a:1023203325501,Effects of flower and seed predators and pollinators on fruit production in two sequentially flowering congeners,2003,Plant Ecology,OPENALEX,Q12,https://openalex.org/W40526369,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000254,10.3732/ajb.92.10.1641,Effects of herbivory and inbreeding on the pollinators and mating system of Mimulus guttatus (Phrymaceae),2005,American Journal of Botany,OPENALEX,Q08;Q09;Q10,https://openalex.org/W2144981673,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000255,,"Effects of insect herbivory on plant architecture, flowering phenology, flower visitors’ activity and reproduction success in Cirsium Altissimum L.",2013,Holmes Museum Of Anthropology (Wichita State University),OPENALEX,Q08;Q10;Q12,https://openalex.org/W2600015960,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000256,,Effects of leaf beetle herbivory on pollination success and fruit development in woodland strawberry Fragaria vesca,2013,Epsilon Archive for Student Projects (University of Southampton),OPENALEX,Q01;Q02;Q03;Q12,https://openalex.org/W97634893,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000257,,Effects of nectar robbing by Xylocopa californica on Chilopsis linearis (Bignoniaceae),1989,UA Campus Repository (The University of Arizona),OPENALEX,Q08;Q09,https://openalex.org/W623865169,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000258,,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,2015,,OPENALEX,Q13,https://openalex.org/W2742069203,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000259,10.17520/biods.2015102,Effects of nectar robbing on pollinator behavior and pollination success in facultative selfing Incarvillea sinensis var. sinensis,2015,Biodiversity Science,OPENALEX,Q13,https://openalex.org/W2582737264,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000260,10.17863/cam.48560,Effects of plant viral pathogens on plant-pollinator relationships,2020,Apollo (University of Cambridge),OPENALEX,Q01;Q02;Q04;Q05;Q07;Q08;Q09;Q10;Q13,https://openalex.org/W3021161820,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000261,10.1093/aobpla/plu031,Effects of pollination limitation and seed predation on female reproductive success of a deceptive orchid,2014,AoB Plants,OPENALEX,Q08;Q09;Q10;Q12,https://openalex.org/W2100102900,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000262,10.3389/fevo.2021.589781,Effects of the Relatedness of Neighbours on Floral Colour,2021,Frontiers in Ecology and Evolution,OPENALEX,Q01;Q03;Q07;Q08;Q09;Q12,https://openalex.org/W3156644068,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000263,10.1111/plb.12338,Efficiency of pollination and satiation of predators determine reproductive output in Iberian Juniperus thurifera woodlands,2015,Plant Biology,OPENALEX,Q12,https://openalex.org/W1994855543,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000264,10.4257/oeco.2018.2204.02,EL ROL DE LOS COMPUESTOS ORGÁNICOS VOLÁTILES FLORALES EN LAS INTERACCIONES PLANTA-INSECTO,2018,Oecologia Australis,OPENALEX,Q10,https://openalex.org/W2904425006,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000265,10.1038/s41598-024-63967-z,"Elevated atmospheric CO2 has small, species-specific effects on pollen chemistry and plant growth across flowering plant species",2024,Scientific Reports,OPENALEX,Q09;Q10,https://openalex.org/W4399673700,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000266,10.1371/journal.pone.0283480,Elevated ozone and carbon dioxide affects the composition of volatile organic compounds emitted by Vicia faba (L.) and visitation by European orchard bee (Osmia cornuta),2023,PLoS ONE,OPENALEX,Q01;Q08;Q09,https://openalex.org/W4367046388,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000267,10.1111/aec.13570,"Elucidating dietary secrets of the Blue‐headed Macaw, Primolius couloni (Sclater, 1876), through citizen‐sourced photographs",2024,Austral Ecology,OPENALEX,Q12,https://openalex.org/W4400918530,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000268,10.3390/plants13050651,Emerging Trends in Ant–Pollinator Conflict in Extrafloral Nectary-Bearing Plants,2024,Plants,OPENALEX,Q01;Q02;Q05,https://openalex.org/W4392193031,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000269,10.1093/plphys/kiad244,Encoding wild fragrance: The role of allelic variants in floral odor emissions,2023,PLANT PHYSIOLOGY,OPENALEX,Q01;Q02;Q05,https://openalex.org/W4366722856,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000270,10.26786/1920-7603(2026)891,Endemic Castilleja grisea support diverse floral-visitor assemblages with implications for promoting local plant communities,2026,Journal of Pollination Ecology,OPENALEX,Q08,https://openalex.org/W7128551828,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000271,10.1111/j.1365-2745.2009.01534.x,Enhanced frugivory on invasive Silene latifolia in its native range due to increased oviposition,2009,Journal of Ecology,OPENALEX,Q12,https://openalex.org/W2086505600,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000272,10.1046/j.0269-8463.2001.00599.x,Environmentally induced variation in floral traits affects the mating system in Datura wrightii,2002,Functional Ecology,OPENALEX,Q08,https://openalex.org/W2053912846,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000273,10.1007/s10886-017-0898-9,Epiphytic Bacteria Alter Floral Scent Emissions,2017,Journal of Chemical Ecology,OPENALEX,Q01;Q05,https://openalex.org/W2770826310,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000274,10.1038/s42003-020-01482-3,Evaluating insect-host interactions as a driver of species divergence in palm flower weevils,2020,Communications Biology,OPENALEX,Q12,https://openalex.org/W3112855945,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000275,10.1101/842153,Evaluating species interactions as a driver of phytophagous insect divergence,2019,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q12,https://openalex.org/W2987549766,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000276,,Evaluating the effects of climate change and pathogens on pollinator health using plant functional traits and longitudinal monitoring,2017,Montana State University ScholarWorks (Montana State University),OPENALEX,Q01;Q05;Q08;Q09,https://openalex.org/W2934007926,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000277,10.1371/journal.pone.0088948,"Evaluating the Interacting Influences of Pollination, Seed Predation, Invasive Species and Isolation on Reproductive Success in a Threatened Alpine Plant",2014,PLoS ONE,OPENALEX,Q08,https://openalex.org/W2046491039,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000278,10.17129/botsci.1031,Evaluation of the symmetric effect of antagonists in the floral morphs of the distylic shrub Bouvardia ternifolia : a field study,2018,Botanical Sciences,OPENALEX,Q08;Q10;Q12;Q13,https://openalex.org/W2789914769,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000279,10.1017/pab.2025.10047,Evidence for increased animal pollination during the Paleocene–Eocene thermal maximum,2025,Paleobiology,OPENALEX,Q06,https://openalex.org/W4413131166,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000280,10.1016/j.sajb.2008.01.066,Evidence for pollination by small mammals in the parasitic plant Cytinus visseri (Cytinaceae),2008,South African Journal of Botany,OPENALEX,Q05,https://openalex.org/W2087055758,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000281,10.1093/molbev/msg030,Evidence for Positive Selection on the Floral Scent Gene Isoeugenol-O-methyltransferase,2003,Molecular Biology and Evolution,OPENALEX,Q01;Q05,https://openalex.org/W2011166637,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000282,10.1016/j.cub.2022.09.013,Evidence for the recruitment of florivorous plant bugs as pollinators,2022,Current Biology,OPENALEX,Q02;Q10,https://openalex.org/W4300978987,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000283,10.1080/17550874.2022.2137382,Evidence of short-term shifts in floral traits in response to nectar robbing,2022,Plant Ecology & Diversity,OPENALEX,Q13,https://openalex.org/W4306756432,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000284,10.1093/aob/mcx026,Evidence that a herbivore tolerance response affects selection on floral traits and inflorescence architecture in purple loosestrife (Lythrum salicaria),2017,Annals of Botany,OPENALEX,Q08,https://openalex.org/W2601277631,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000285,10.1093/molbev/msz292,Evolution of a Novel and Adaptive Floral Scent in Wild Tobacco,2019,Molecular Biology and Evolution,OPENALEX,Q02,https://openalex.org/W2993634846,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000286,10.1101/738112,Evolution of a novel and adaptive floral scent in wild tobacco,2019,bioRxiv (Cold Spring Harbor Laboratory),OPENALEX,Q01;Q02;Q05;Q10,https://openalex.org/W2969706128,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000287,,Evolution of floral and mating system variation in Camissoniopsis cheiranthifolia (Onagraceae): An evaluation of patterns and processes,2013,QSpace (Queen's University Library),OPENALEX,Q08;Q09;Q10,https://openalex.org/W2188125702,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000288,10.1046/j.0028-646x.2001.00268.x,"Evolution of floral form: electrostatic forces, pollination, and adaptive compromise",2001,New Phytologist,OPENALEX,Q09,https://openalex.org/W1994849520,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000289,10.3389/fevo.2020.00030,Evolution of Floral Fragrance Is Compromised by Herbivory,2020,Frontiers in Ecology and Evolution,OPENALEX,Q01;Q05;Q09;Q10;Q11,https://openalex.org/W3007624932,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000290,10.1186/1471-2148-8-27,Evolution of sexual mimicry in the orchid subtribe orchidinae: the role of preadaptations in the attraction of male bees as pollinators,2008,BMC Evolutionary Biology,OPENALEX,Q01;Q07,https://openalex.org/W2011319476,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000291,10.1104/pp.105.061655,Evolutionary and Ecological Genomics of Arabidopsis,2005,PLANT PHYSIOLOGY,OPENALEX,Q09,https://openalex.org/W2055011264,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000292,10.35662/unine-thesis-2136,Evolutionary conflicts and ecological constraints at reproduction in the dioecious plant Silene latifolia,2009,,OPENALEX,Q12,https://openalex.org/W1525198502,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000293,10.1093/aob/mcy132,Evolutionary ecology of nectar,2018,Annals of Botany,OPENALEX,Q08,https://openalex.org/W2884773276,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000294,10.1146/annurev-ecolsys-112414-054215,Evolutionary Interactions Between Plant Reproduction and Defense Against Herbivores,2015,Annual Review of Ecology Evolution and Systematics,OPENALEX,Q01;Q02;Q03;Q05;Q06;Q08;Q09;Q10;Q12,https://openalex.org/W2100914194,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000295,10.1007/s11829-025-10131-7,Experimental florivory and its effects on pollinators of Opuntia cantabrigiensis Lynch (Cactaceae),2025,Arthropod-Plant Interactions,OPENALEX,Q09;Q10,https://openalex.org/W4407420278,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000296,10.3390/plants15020225,Experimental Florivory Influences Reproductive Success in the Field Bindweed (Convolvulus arvensis),2026,Plants,OPENALEX,Q10;Q13,https://openalex.org/W7122470679,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000297,10.1111/nph.70496,Exploring the importance of aromatic plants' extrafloral volatiles for pollinator attraction,2025,New Phytologist,OPENALEX,Q01;Q05;Q06;Q07,https://openalex.org/W4413827208,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000298,10.1653/024.100.0308,Exploring Whether and How Ants (Hymenoptera: Formicidae) Affect Reproductive Fitness inSenna mexicanavar.chapmanii(Fabaceae),2017,Florida Entomologist,OPENALEX,Q08;Q12,https://openalex.org/W2755203206,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000299,10.1073/pnas.1809007116,Extreme diversification of floral volatiles within and among species of Lithophragma (Saxifragaceae),2019,Proceedings of the National Academy of Sciences,OPENALEX,Q01;Q05,https://openalex.org/W2911877627,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000300,10.1371/journal.pone.0044657,Extreme Reproduction and Survival of a True Cliffhanger: The Endangered Plant Borderea chouardii (Dioscoreaceae),2012,PLoS ONE,OPENALEX,Q12,https://openalex.org/W2158933682,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000301,10.1111/1365-2745.12657,Facilitated exploitation of pollination mutualisms: fitness consequences for plants,2016,Journal of Ecology,OPENALEX,Q12;Q13,https://openalex.org/W2507868743,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000302,10.3390/insects14050454,Factors Affecting Pollination and Pollinators in Oil Palm Plantations: A Review with an Emphasis on the Elaeidobius kamerunicus Weevil (Coleoptera: Curculionidae),2023,Insects,OPENALEX,Q01,https://openalex.org/W4376278717,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000303,10.30707/etd2015.hembrough.a,Factors Constraining the Reproductive Output of Baptisia alba macrophylla,2015,,OPENALEX,Q08;Q12,https://openalex.org/W2336725473,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000304,10.3410/f.736775180.793572211,"Faculty Opinions recommendation of A Promiscuous CYP706A3 Reduces Terpene Volatile Emission from Arabidopsis Flowers, Affecting Florivores and the Floral Microbiome.",2020,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,OPENALEX,Q01;Q02;Q05;Q11,https://openalex.org/W4236195341,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000305,10.3410/f.717989053.793472819,Faculty Opinions recommendation of Caffeine in floral nectar enhances a pollinator's memory of reward.,2013,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,OPENALEX,Q01;Q08,https://openalex.org/W4244801482,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000306,10.3410/f.717957258.793461757,Faculty Opinions recommendation of The contribution of a pollinating seed predator to selection on Silene latifolia females.,2012,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,OPENALEX,Q12,https://openalex.org/W4210318985,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000307,10.1111/j.1469-8137.2006.01889.x,Ferns represent an untapped biodiversity for improving crops for environmental stress tolerance,2006,New Phytologist,OPENALEX,Q01;Q05,https://openalex.org/W2007290400,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000308,10.3390/plants14182885,Fig Macula as a Key Multifunctional Structure Mediating the Fig–Fig Wasp Mutualism,2025,Plants,OPENALEX,Q01;Q05,https://openalex.org/W4414288033,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRISMA-000309,10.1002/ajb2.70167,Fitness consequences of trait‐mediated plant–pollinator interactions,2026,American Journal of Botany,OPENALEX,Q10;Q13,https://openalex.org/W7130845460,,UNSCREENED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
